content,score,label
Mau beli tapi tulisannya ga bisa lanjut. Lah buat apa kalau gitu aplikasi ini,1,negatif
Nipu,1,negatif
baik,5,positif
GK bisa dipesen pas diskon,1,negatif
"Error trus diskonnya hilang, jadi normal harganya",1,negatif
Jelek promonya goib,1,negatif
"Adakan fitur cari barang pake foto, biar ga ketinggalan sama apk lain.",4,positif
update versi terbaru dana refund pembeli harus verifikasi foto ktp dan wajah mirip apps pinjol dan itupun gagal terus. tolong kembalikan versi semula refund bisa ditarik ke rekening pembeli dengan pin,1,negatif
Buruk pol,1,negatif
Rata2 tidak ada toko yang melayani COD gimana caranya kita beli produk disini.,3,netral
oke...... ok..... ok,5,positif
Kok sudah ga ada gratis ongkirnya,1,negatif
bagus pol,5,positif
"gila cuk harganya, gua yang sehari hari pake shope buat belanja, nyoba liat toped sp tau dapat promo, eh harga barang kebutuhan saya dapat harga 5x lipat di sini, walau dapat diskon atau voucher tetep lebih mahal banget, udah 3 hari survei, emang marketing toped, pasti sepi ini lama lama.",1,negatif
jujur,5,positif
saya suka,5,positif
Bagus,5,positif
"Promonya kok tidak berlaku, tapi di harganya di kasih diskon",1,negatif
kapan dong gratis ongkir lagi kaya kemarin biar semangat belanja...di tunggu gratis ongkirnya ya,5,positif
voucher hilang tidak jelas!,1,negatif
cepat tepat itu harus jadi moto TOKPED,5,positif
aplikasi sangat membantu saya,5,positif
ga bisaa pake promo pengguna baru,1,negatif
"Cuman update icon doang, bug bejibun",1,negatif
sumpil ih nyebelin bgt ni apk,2,negatif
Saldo tokped ndk bisa diambil. update apk malah bikin ribet narik saldo. disuruh ini itu tp ndk kelar² respond lambat. proses refund lama.,1,negatif
pengiriman nya lama,3,netral
"hati2 Tokopedia tidak punya call center,kl ada keluhan kaya ngobrol Ama tembok,saldo tidak bisa digunakan juga tidak bisa di tarik,app hantu saat ini,banyak toko fiktif",1,negatif
udh gak ada free ongkir...,1,negatif
"pertama kali coba lagi pake Toped, setelah sekian lama pake oren, dapat voucher platform 99%, tapi waktu 2kali checkout gak di acc 🤣😂. apa karena pake potongan itu, alhasil aku uninstall lagi Toped, balik beli di oren lagi 🙏🏻😅.",3,netral
apik,5,positif
sukaaa bngtttt banya diskonannnn,5,positif
"Penarikan dana aja sampe ada minimum. hak orang loh itu. Uang orang tapi di tahan"" dan di paksa biar bisa belanja lagi disana dengan dalih penarikan masih di bawah minimum ketentuan saldo !!!! Solusi??? cuma di lama""in doang.",1,negatif
mempermudah akses belanja,5,positif
bagus,5,positif
bagus rekomendasi banget amanah dan terpercaya,5,positif
tokopedia anj knp pas buka malah ke chrome trus masuk ke tokopedia emangnya lu suruh gua beli barang gitu gua aja gk ada uang apa lagi gk tau cara pesannya kalo iklan boleh tapi Jangan paksa untuk buka Tokopedia anj 🤬🤬,1,negatif
"makin sulit, beli obat harus resep online. tidak ada jaminan tepat waktu. parah..!!",3,netral
setelah komplain panjang lebar akhirnya dikasih solusi...,4,positif
bagus banget aku juga sering dapat harga murah meriah pake banget pake apk ini,5,positif
gagal pesen trus.. MUAK SAYA MUMPUNG LG DISKON JG MALH GAGAL PEMBAYARAN,2,negatif
"tarik uang lama, sudah 24 sejak ferivikasi uang belum masuk, terlalu berbelit, sangat menyulitkan",1,negatif
"Sekarang sering error, voucher diskon saya sampe hilang, gak ada respon komplain, dll. Kusut",1,negatif
lemot bagusan si oren sat set,1,negatif
"mau download banyak yang harus di hapus,, dan tidak ada gratis ongkir dan harganya dari 6.000 ke 36.000.itu pendapat saya..,,.",2,negatif
sangat membantu..terimakasih banyak tokped.❤️,5,positif
"Hey tokopedia, saya mau ngasih uang tip ke kurir. Tolong metode pembayaran tip nya jangan dibatasi, berikan cara pembayaran tip juga dari saldo tokopedia. Ngasih tip aja repot bener harus transferan via bank. repot",2,negatif
aplikasi tololll.akun plus tiba2 voc gratis ongkir ilang.chat CS gak ada guna,1,negatif
bagus sngat membantu,5,positif
"aplikasi apan pengguna baru tadi gw dapet vocer malah gabisa di pake cuma iming iming ,SAYA KAIH BINTANG 5 BIAR DI PALING ATAS ,asli kalian jngan donlod",5,positif
qv di,3,netral
"Aplikasi sesat, untuk pengembalian dana karena barang g dikirim penjual itu lama amat g satset... Padahal jelas, akun penjual ternyata sdh nggak aktif & bkn kesalahan di saya, harusnya pihak Tokped menyaring akun tsb dari sistem pencarian. Agar tidak merugikan customer... Selain itu customer care sama sekali tidak memberikan solusi. Setelah beberapa hari, status pembatalan otomatis jg masih g berubah & terus dalam status diproses. Setelah drama usai, voucher diskon pun g bisa d pakai... Nice 👍",1,negatif
promo pengguna baru gabisa di pakai kalau ngga mau ngasih promo mending gausah perbaiki lagi agar banyak penggunanya,1,negatif
tadi di awal harga nya 21 ribu pas mau di chekout harganya 75 ribu mana vouchernya gabisa dipake padahal masa nya masih lama,1,negatif
Rekomendasi Bangettt sih Gratis ongkir nya,5,positif
pelayanan kurang..pdhal sebelumnya ini eccom favorit saya...skg kurang,1,negatif
"mau narik saldo refund aja susah banget, gimana duit saya? bilang aja duit saya diputer-puterin dulu kan. kalau bisa cepet lah ngasih dana refund🥲",1,negatif
apa sih mau checkout malah promonya ilang,1,negatif
best e-commerce!,5,positif
"lemot, lebih lemot dari shope. narik dana pengembalian ada biaya admin, kocak bener, udah gitu status penarikan udah berhasil tapi saldo belum masuk ke rekening. aplikasi tl0l",1,negatif
tiba2 saldon di tokoopedia tdk bs di tarik,1,negatif
"baru pertama kali unduh aplikasinya dan pesan barang, sdh dapat pengalaman buruk, estimasi pesanan saya tgl 2-5 ini sdh tgl 8 belum ada juga dan status pesanan stak di situ terus tdk ada pembaruan status, chas CS nya jawab nya cuman estimasi di ubah-ubah terus cukup terakhir deh pakai aplikasi ini mending beli online di Shopee saja",1,negatif
mantap dan cepat,5,positif
bagus dan lengkap,5,positif
"aplikasi menawarkan promo pengguna baru dan beberapa promo lainnya, tapi promo tidak bisa digunakan, muncul notifikasi ""promo tidak berlaku, kamu bisa lanjut tanpa promo"", padahal aku sudah memenuhi semua persyaratan dan ketentuan yang ada, ketika meminta bantuan ke tokopedia care, balasannya hanya sebatas meminta untuk mengecek ulang syarat dan ketentuan, meminta tolelir karena mereka sedang melakukan pembaruan, dan tidak memberikan kesempatan untuk berbicara langsung dengan operator (manusia).",1,negatif
belanja hemat. dan gampang,5,positif
mantullll gaaann,5,positif
Waktu awal-awal buat sering dapet diskon 50k. Terus lama ngga dapet cuma kek berapa bulan sekali itupun diskonnya ngga segede waktu awal-awal. Akun jadi jarang buat co eh malah jadi tambah busuk. Diskon tambah jarang dan malah gratong ngga ada samsek. Setelah didiemin berapa bulan gitu akhir-akhir ini udah mulai membaik🥹 Diskonnya mayan lah soalnya ada gratong juga jadi bisa kepake wkwk. Dukung produk indo.,5,positif
semoga tetap terbaik murah aman,5,positif
good,5,positif
"saya cocok belanja di Tokopedia, sering ada diskon. layanan komplainnya cepat mantap",5,positif
mantap,5,positif
"gimana ini saldo refund saya gk bisa di tarik karna belum di verikasi padahal sudab 3 harian saya nunggu tpi msih gk di verifikasi juga, saya jadi tidak bisa menarik saldo refund dan saya benar2 sangat butuh uangnya jadi tolong kebijakanny dari tokopedia, sudah itu tolong dibuat tambahan supaya buyer bisa lihat berapa waktu toko dari seller aktif, jadi para buyer gk bingung mana toko msih aktif dan tidak aktif jadi kasian dengan para buyer yg ketipu jadi tolong dong tokopedia perbaiki semua ini.",1,negatif
oke,5,positif
bagus,5,positif
mengapa saya tidak bisa co,1,negatif
terimakasih sudah acc paylater saya,5,positif
"redund berhasil, saldo refund sudah masuk, giliran mau tarik saldo tidak bisa padahal sudah aplikasi versi terbaru dan sudah verifikasi. kacauu",1,negatif
ok,5,positif
"titik alamat saya sudah bener kenapa kalo mesen suka gajelas ke alamat ntah mana tau, mau complain gada cs lari nya ai/seller pdhl salah ni apk busuk",1,negatif
scam,1,negatif
padahal pengguna baru tapi ga bisa pakai voucher,1,negatif
skrng jarang dpet diskon pelit gak kaya dulu,1,negatif
"harganya selalu aja 20% lebih mahal dari toko Orange, heran.. emang ga takut di tinggalkan?",1,negatif
pelayanan buruk sekali saldo saya tertahan disuruh menunggu tidak ada kejelasan sampai sekarang,1,negatif
ok,5,positif
"mantap, keren hebat 🙏",5,positif
hpku jadul ndak kuat nggak jadi istal ah,1,negatif
"lemot paraaahhhh. pas scroll buka produk, balik halaman sebelumnya ngulang lagi dr atas, dr awal. dikasih banyak promo, tp pas checkout ga bisa dipake",1,negatif
wuih mantep mudah sekali dapetin barang di tokped josss,5,positif
layanan bagus cepat,5,positif
kalian luar biasaaàa Lannnnnnjuoooottd,5,positif
sekarang kenapa gk bisa downlod ya ??,1,negatif
"sayang, agak error kalo lg search",5,positif
"Tokopedia makin ga jelas aja, pengembalian dana refund biasanya langsung kok sekarang seperti kita mau pinjam di pinjol harus foto KTP dan selfi, bisa2 ditinggal konsumen kalo gitu siap2 aja, konsumen mau tarik dananya kok dipersulit, bisa 5 hari kerja",1,negatif
belanja online mudah yaa Tokopedia,5,positif
promo pengguna baru cuma tipuan waktu check out tidak bisa notifikasi promo tidak bisa digunakan padahal masih ada estimasi 2 jam promonya,1,negatif
"ini bagus sih,tapi kenapa yah aku kan mau daftar afilieter kok ga bisa itu muter terus ga bisa buka udah nunggu seharian. akhirnya aku coba download lagi di hp lain dan daftar juga sama ,masa 3 hp mau join affiliate ga bisa semua udah itu aja keluhan yang lainyaaa masihh baguss",5,positif
"paket retur tak pernah nyampai langsung ke tangan penjual,paket semua nyangkut digerai,kebanyakan gerai J&T kalau penjual tak teliti selamat barang kalian yang jualan pastu hilang dan transaksi gagal ,,BURUK SEKALI !!!",1,negatif
baru mencoba semoga tidak mengecewakan,3,netral
"Ini mau tarik dana dari refund proses verifikasi sampe 3 hari lama bngt . Team tokopedia gimna si, bisa di percepat lah ini jaman digital",1,negatif
dulu pernah donlod tpi nomor dulu gk aktif.. mau ganti ribet amat.. gak bisa di koneksi kan pembayaran dana.. karena harus sama nomor yg di pke tko pedia tpi nomor nya gk aktif,1,negatif
manja banget aplikasi Tokopedia sekarang sinyal jelek dikit langsung koneksi timeout,2,negatif
sukaaa bangett sama aplikasi inii yeayy,5,positif
gak bisa pesen malah opss ada kendala terus,1,negatif
sangat membantu Terima aksih,5,positif
"buat daftar akun susah, di CO dalam bentuk apapun tidak bisa, voucher tidak bisa dipakai.",1,negatif
"ngeleg, voucher ga guna,jelek",1,negatif
apa coba ngasi voucher diskon tpi pas mau di CO malah eror katanya bisanya di co kalo kode promo ga di pake buat apa dong ada kode promo kocak,1,negatif
sangat membantu,5,positif
"lancar, cepat transakdinya",5,positif
"pengguna baru Tokopedia tapi tidak dapat diskon, awal nya harga nya murah tp kalau diCO mahal, punya kakak saya malah dapat diskon, padahal bukan pengguna baru",2,negatif
"sejauh ini,ini yang paling jauh bye bye toped platform mu minim promo dan ongkir",2,negatif
no komen bintang menjelaskan,2,negatif
"ngadain event trus pas udah jamnya buat klaim malah gk bisa di klaim ngeyel sedang ada kendala trus aja gitu gak jelas kalo gk niat ngadain event ya udah gk usah ngadain lah php in orang aja, wifi juga enak lancar tapi pas waktunya ngeklaim malah ada kendala, emang gg ni tokped",1,negatif
apk gj,1,negatif
saya kasih saran harusnya event sperti 6.6 7.7 itu pke sistem random siapa yang paling cepet pencet berarti dia login di jam itu yg dpt.,1,negatif
"aplikasi busuk lag ga karuan, kalau ga lag ya oops eror.. padahal sinyal 5G, benerin lah server lu!",1,negatif
aplikasi bohong. tiap event g prnh dapet apa2 mau pake internet ratusan Mbps. udh berbulan-bulan make. tetep aja gadapet wkwkwk scam,1,negatif
kereeennnn,5,positif
"Super clean user interface and extremely reliable. Finding official stores is very easy, and the payment and delivery options are fast and secure. Best local marketplace!",5,positif
bagus,5,positif
sangat mudah,5,positif
bagusssd,5,positif
penarikan dana selalu gagal tolong dilengkapi pake scan barcode biar mudah transaksi nya,1,negatif
salah satu tempat belanja yang terpercaya,5,positif
"mau belanja aja susah banget pake dana gk bisa,cod gk bisa selalu ada bugg smua nya gk bisa tolong bnerin lgi,,,",2,negatif
"aplikasi aneh, dapet voucher gabisa dipake, padahal pengguna baru. SCAM SCAM mending shopee kemana"" haha VOUCHERNYA KAGA SCAM.",1,negatif
"aplikasi jelek, udah dapat VOC malah gabisa di co",1,negatif
"Suka banget sama kecepatan pengiriman, terutama kalau pakai GoSend atau Instant. Status pengiriman selalu real-time dan akurat. Customer service-nya juga sangat responsif jika ada kendala dengan pesanan. Sangat membantu untuk kebutuhan mendadak!",5,positif
bagus,4,positif
Tokopedia banyak vocernya.,5,positif
mantab,5,positif
aplikasi belanja terbaik,5,positif
bintang yg berbicara,4,positif
COD di retur uang gak kembali yang jual seenak nya sendiri,1,negatif
"aplikasi jelek, masak saldo di aplikasi sama sekali tidak bisa transfer ke rekening bank, dan gk semua toko bisa bayar pakai saldo tokopedia",1,negatif
"Tidak tau apa masalah nya, tiba2 Paylater saya di blokir, padahal saya sudah berlangganan dari 2016",1,negatif
ewwwe,1,negatif
lumayan,4,positif
"proses baeang order harusnya di batasi waktu agar pembeli tahu kapan barang ready setelah diproses penjual, saya pernah barang di proses dalam waktu 3 hari dan akhirnya cancel otomatis. sangat rugi waktu dan uang.",4,positif
"ga banget dah, mana mitra pengiriman nya lambat, ditambah aplikasi fitur nya kurang bgt",2,negatif
"saya mau tarik saldo tokopedia saja tidak bisa sangat mengecewakan, mending di lazada lebih mudah penarikanya",1,negatif
Oke,5,positif
aplikasi gagal ongkir selangit tidak bagus,1,negatif
"banyak banget penipuan di apk ini dan juga bingung mau ngelaporin gimana,",1,negatif
ini jelas lebih baik daripada toko oren,5,positif
Ga ada gratis ongkir,1,negatif
"uda gw uninstal, apa apaan gk ada SDM lokal, malah banyaknya WNA, tak sudi aku belanja lagi di toped.",1,negatif
"belanja di Tokopedia di tipu,barang kurang,video unboxing dikirim,tetap aja nga diganti...nga sekali kali deh belanja di Tokopedia lagi",1,negatif
good,5,positif
bagus banget KLO byar pulsa nya muruh,5,positif
Apalah Promo2 gabisa;!!!,3,netral
mantap,5,positif
"gk niat banget kasi promo,pas promonya dipake gk bisa +ongkirnya muahal",2,negatif
"co klo dibatalin sistem masuk saldo tokped jir, pdhl byr pke qris. mn klo narik haria veriv ktp hadehh, g lgi gw pke tokped.",1,negatif
ok,5,positif
"Promo ga berlaku tapi harganya ada promo, membingungkan",1,negatif
Aneh ih.... Masa lagi even ga ada gratis ongkirrrrr,1,negatif
keren,5,positif
"semenjak di update aplikasinya, mau buka tokopedia lemot banget..padahal jaringan bagus",1,negatif
Promonya ga bisa dipakai,1,negatif
mantap promonya,4,positif
"APLIKASI PENIPU!!! Disuruh aktifin Tiktok Paylater biar dapat voucher diskon 50rb, pas udah aktif malah gak dapat voucher diskon. dasar penipu.",1,negatif
"ada beberapa akun rekening di aplikasi ini, ovo,dana,saldo tokopedia. tapi sayangnya pembayaranya gak bisa di di doble pakai rekening lain. misalnya saldo ovo kurang, tapi rekening dana ada tambahan. itu gak bisa di akumulasi total pembayaran. menurut saya percuma banyak rekening untuk pembayaran tetapi tidak bisa di akumulasi.",4,positif
Good,3,netral
bagus banget,5,positif
good,5,positif
Belanja apapun bisa disini banyak promo nya lagi,5,positif
tolong notifnya bikin panik,2,negatif
sangat membantu,5,positif
prosesnya Bagus dan Cepat,5,positif
pengalaman lumayan,5,positif
Lama banget sih buat transfer duit dari saldo tokped ke rekening 😤,1,negatif
oke,5,positif
oke polllll✌️👍🙏,5,positif
keren,5,positif
bug nya banyak,1,negatif
tokop pedia mantap,5,positif
Aplikasi nya Oke rekomended,5,positif
oke,5,positif
"Voucher pengguna baru hanya tampil di akun, tetapi tidak bisa digunakan saat checkout. CS tidak memberikan alasan yang jelas, hanya menyuruh membaca S&K. Kurang transparan.",1,negatif
tolong dong optimalin bug²nya masa saya transaksi belum melakukan pembayaran di menu menunggu pembayaran ga ada tolong lah kak perbaiki performanya dlu kayanya bagus makin kesini apk nya banyak bgt bug² ga jelas,2,negatif
dana ditahan mau ditarik sangat ribet sampe skrg akun malah dinonaktifkan sama pihak tokped disaat ada saldo aktif disitu,1,negatif
tokopedia ini kenapa kok vocer nya digunakan gak bisa padahal ada aneh nyesel kalau gini pakek dan gak bisa diganti yang baru lagi,1,negatif
"makin parah intinya,niatnya pengen pindah dari toko oren ehh nih si ijo malah makin gila gak ngotak",1,negatif
"apk gk jelas ngasih voucher tpi gk bisa digunain buat apa??? keterangannya selalu promo tidak berlaku pdhl saya udh memenuhi semua persyaratan mulai dari data diri akun, syarat pelanggan baru, syarat produk tertentu, dan waktu voucher juga masih ada 13 jam ttp aja masih gk bisa dasar apk tll",1,negatif
"gak usah belanja di sini, jika pembelian lu kena cancel, saldo langsung mengendap di tokped, mau narik gak bisa kalo di bawah 50 ribu, mau dipake belanja dan gabungin kekurangan saldonya dengan metode pembayaran lain juga gabisa, top up pun gak bisa, costumer care gak solutif dan nutup chat tanpa persetujuan..kurang apa sih ini aplikasi nahan duit konsumen pake trik jorok di ekonomi yang serba susah ini..",1,negatif
"aplikasi nya ga banget, katanya pengguna baru bisa dapat diskon dan gratis ongkir, tapi mengapa saat ingin melakukan pembayaran tidak bisa?",2,negatif
"aplikasi ribet, saya pengajuan ganti nomor katanya nunggu sehari tapi udah 2 hari gak ada kejelasan..",1,negatif
sangat go0d.,5,positif
Tokopedia bagaimana ini kok akhir akhir ini makin payah sy membatalkan transaksi tpi saldo refund tdk bisa di tarik mohon penjelasan nya makin kesini makin payah tolong kembalikan dana refund sy,3,netral
"jujur bagus sih,banyak diskon dan promonya,gw suka banget sih mana cepet lagi sekarang tapi sekarang kok kebanyakan pas gw cari haada",4,positif
kenapa sekarang belanja di sini mahal mahal,3,netral
iklan nya selalu muncul,1,negatif
mantap,5,positif
"akhir akhir ini banyak toko penipu di tokopedia,, mereka menyebabkan rugi waktu dan finacial... udh pesan , eh ga di kirim kirim padahal barang banyak... bener bener sial belanja di tokopedia",1,negatif
"saya mau pake promo pelanggan baru malah gabisa bisa, padahal limit waktunya masih ada 15 jam lagi, aneh, mau payment malah ""promo sudah tidak bisa digunakan"" padahal aku baru download+belum beli apa apa, terus juga aku beneran pengguna baru, baru pernah download di HP ini sekarang+akun google ku masih fresh",1,negatif
"aplikasi eror gak bisa tarik saldo, tombol transaksi juga tidak bisa di klick.",1,negatif
goodluck,5,positif
"saya sebagai pengguna baru mencoba untuk check out, saya mendapatkan promo sebagai pengguna baru, namun ketika di check out tidak bisa transaksi, 'terjadi kendala. Transaksi tidak dapat diproses', saya kecewa, karena ini pertama kali nya saya berbelanja online ditokopedia namun transaksi pertama kali saya tidak dapat diproses.",2,negatif
lemot banget... scrol cari produk. kalah jauh sama shop oren dan laz,1,negatif
mudah cepat,5,positif
trimakasih,5,positif
"tolong perbaiki lagi kondisi networknya ini aplikasi, dari tadi ngelag mulu",3,netral
voucher banyak tapi gaada yang bisa di pake,1,negatif
tolong ya proses KYC verificationnya dipercepat. itu uang saya ga bisa ditarik loh. mau transaksi yg nilainya lbh dr saldo tokped jg gak bs digabung dengan metode pembayaran lain. masa tiba2 ada proses verifikasi lg & lama bgt lg kerjanya. kecewa bgt sm tokped.,1,negatif
Mantap! Ini saingan berat Shopee!,5,positif
mantap,5,positif
payah skrng..tarik saldo aja susah bngt..udh verifikasi bulak balik bgt terus..makin gak jelas Luh.. segitu duit gw..susah bngt mau narik saldo..,2,negatif
saya kan pengguna baru tapi kok harganya pas di checkout jadi mahal kenapa si ga bisa di gunakan voucher nya. 😡😡😡😡😡😡😡 kenapa sih harus di persulitkan,1,negatif
Pelatanan mantap,5,positif
Ini kirim barangnya bisa berapa hari ya? Tolong dong tokopedia jawabannya,5,positif
"aplikasi pembohongan publik, dpt vocher tp gabisa di pake, apaan dah",1,negatif
mudah berbelaja,5,positif
Tokopedia tolong untuk pengiriman barang jangan lewat JNT aja soalnya sering stuck pengiriman dan sering mengulur ulur waktu pengiriman sangat tidak puas,1,negatif
Puas banget,5,positif
mantap,5,positif
"parah bayar pake dana eh pengembalian dana harus pake bank , aneh",1,negatif
kerreenn,5,positif
aplikasi jos bagus rekomend banget makasih Tokopedia,5,positif
peluang bisnis dan efisiensi waktu untuk belanja,5,positif
mantap jiwaa,5,positif
"Aplikasi ragebait,gunany voucher pengguna baru apa blok gak bisa dipake",1,negatif
jangan mau download aplikasi ini .penipu cuman mau ngambil data kita saja ..aplikasi paling rumit ..,1,negatif
SUKA BGTTT BELANJA DISINI BANYAK DISKON LOVE BGTTT TOKPED SEMOGA MASUK SURGA MWAH😘😘,5,positif
setiap mau cekout terkendala terus. dan gagal terus. kenapa sih ini. lama2 malah darting sendiri. aplikasi sebelah gak prnh sprti aplikasi ini. tiap mau co terkendala terus.. mohon diperbaiki lagi sistem nya.,2,negatif
"bagus, responsif.",4,positif
saya hanya pakai tokped.. yang tidak,5,positif
"kalau nyari produk di pencarian suka muncul 'kata kunci tidak ditemukan' 'toko tidak menjual apapun' inilah itulah padahal disitu posisi nya lagi buru buru harus co, malah muncul kaya gitu, padahal di platform lain masih ada stok, ini suka di bilang habis awalnya saya percaya kepada tokopedia taoi setelah ini, ga ga lagi belanja di tokopedia",1,negatif
"Baru di-update malah gak bisa melakukan pencarian. Kenapa tidak bisa melakukan pencarian dengan kata kunci apapun baru kali ini kecewa, biasanya selalu aman",1,negatif
Tokopedia the best paling oke⭐⭐⭐⭐⭐,5,positif
"voucher gabisa dipake, saldo tokopedia ga bisa ditarik",1,negatif
mantap sih,5,positif
"Tengah malam banyak Bug nya, udah bolak-balik di refresh ga muncul gambar produk di halaman dan pencarian produkpun sama dan malah lebih parah yg mana produk tidak ditemukan. Sudah coba tutup apk dan ganti jaringan masih tetap sama",1,negatif
tolong yaa buat bug pencairan perbaiki ga sengaja mencet filter pencarian biasa kan bisa balik lagi ini engga malah setiap nyari kosong terus,5,positif
bisa beli barang dari rumah tanpa ke toko langsung,5,positif
apaan banget penguna baru pake voucher penguna baru gabisa kasih alasan mulu bilang aja ga niat ngasih benci banget,1,negatif
"gratis ongkir cuma pajangan . ga bisa di pakai sama sekali, beli produk harga 19k , biaya ongkir 20k di luar logika kudanil.",1,negatif
ok,5,positif
knpasi barangnya ga bisa cod hrs bgt pke bank/dana,4,positif
mau di co malah ilang diskonya jirr,1,negatif
"gak jelas pesanan gak dikirim, dichat penjual gak direspon, biar ngendap uang dalam waktu lumayan lama, nunggu batal otomatis 3 hari, ngadu ke cs menunggu 48 jam,",1,negatif
mantap👍,5,positif
"saldo refund gak bisa langsung dikirim ke rekening nunggu beberapa hari kerja lah dan harus minim 50rb biar bisa tarik saldo, gak ada informasi tentang kapan terakhir kali toko buka jadi gak tau nih toko masih ada atau gak, cs gak bantu sama sekali",1,negatif
